Typ,Kapazität,Menge,Lagerort,Spannung
Keramikkondensator,2 pF,5,Ordner,50V
Keramikkondensator,3 pF,5,Ordner,50V
Keramikkondensator,5.5 pF,5,Ordner,50V
Keramikkondensator,10 pF,5,Ordner,50V
Keramikkondensator,15 pF,5,Ordner,50V
Keramikkondensator,22 pF,5,Ordner,50V
Keramikkondensator,30 pF,5,Ordner,50V
Keramikkondensator,33 pF,5,Ordner,50V
Keramikkondensator,47 pF,5,Ordner,50V
Keramikkondensator,68 pF,5,Ordner,50V
Keramikkondensator,75 pF,5,Ordner,50V
Keramikkondensator,82 pF,5,Ordner,50V
Keramikkondensator,100 pF,5,Ordner,50V
Keramikkondensator,150 pF,5,Ordner,50V
Keramikkondensator,220 pF,5,Ordner,50V
Keramikkondensator,330 pF,5,Ordner,50V
Keramikkondensator,470 pF,5,Ordner,50V
Keramikkondensator,680 pF,5,Ordner,50V
Keramikkondensator,1 nF,5,Ordner,50V
Keramikkondensator,1.5 nF,5,Ordner,50V
Keramikkondensator,2.2 nF,5,Ordner,50V
Keramikkondensator,3.3 nF,5,Ordner,50V
Keramikkondensator,4.7 nF,5,Ordner,50V
Keramikkondensator,6.8 nF,5,Ordner,50V
Keramikkondensator,100 nF,5,Ordner,50V
Keramikkondensator,1.5 nF,0,externer Behälter,50V
Keramikkondensator,2.2 nF,0,externer Behälter,50V
Keramikkondensator,4.7 nF,0,externer Behälter,50V
Keramikkondensator,6.8 nF,0,externer Behälter,50V
Keramikkondensator,100 nF,1000,externer Behälter,50V
Elektrolytkondensator,0.22 µF,5,Ordner,50V
Elektrolytkondensator,0.47 µF,5,Ordner,50V
Elektrolytkondensator,1 µF,5,Ordner,50V
Elektrolytkondensator,2.2 µF,5,Ordner,50V
Elektrolytkondensator,4.7 µF,5,Ordner,50V
Elektrolytkondensator,10 µF,5,Ordner,50V
Elektrolytkondensator,22 µF,5,Ordner,50V
Elektrolytkondensator,33 µF,5,Ordner,16V
Elektrolytkondensator,47 µF,5,Ordner,16V
Elektrolytkondensator,100 µF,5,Ordner,16V
Elektrolytkondensator,220 µF,5,Ordner,16V
Elektrolytkondensator,470 µF,5,Ordner,16V
PCB Jumper,schwarz,50,Ordner,
PCB Lötösen / Lötlitzen,,75,Ordner,
Leuchtdiode,rot,30,Ordner,2V 20mA
Leuchtdiode,blau,30,Ordner,3.2V 20mA
Leuchtdiode,grün,30,Ordner,2.4V 20mA
Leuchtdiode,gelb,30,Ordner,2V 20mA
Leuchtdiode,weiß,30,Ordner,3V 20mA
Leuchtdiode,RGB,2,Ordner,
Gleichrichterdiode,1N5399,20,Ordner,"1A 1000V, Vf 0.7–1V"
Gleichrichterdiode,1N4007,20,Ordner,"1A 1000V, Vf 0.7–1.1V"
Gleichrichterdiode (Fast),FR107,20,Ordner,"1A 1000V, Vf 0.7–1V"
Gleichrichterdiode,1N5408,20,Ordner,"3A 1000V, Vf 0.7–1V"
Gleichrichterdiode (Fast),FR207,20,Ordner,"3A 1000V, Vf 0.7–1.1V"
Signaldioden,1N4148,20,Ordner,"300mA 75V, Vf 0.7V, fast (ns)"
Schottkydiode,1N5819,20,Ordner,"1A 40V, Vf 0.4–0.5V"
Schottkydiode,1N5822,20,Ordner,"3A 40V, Vf 0.3–0.5V"
Photowiderstand,GM5539 / GM5528,10,Ordner,LDR
Transistor (NPN BJT),2N5551,10,Ordner,80V 800mA
Transistor (PNP BJT),S8550,10,Ordner,-25V 1.5A
Transistor (PNP BJT),2N3906,10,Ordner,-40V 200mA 250MHz
Transistor (PNP BJT),S9012,10,Ordner,-40V 500mA 150MHz
Transistor (PNP BJT),S9015,10,Ordner,-45V 100mA 100MHz
Transistor (PNP BJT),A1015,10,Ordner,-50V 150mA 80MHz
Transistor (PNP BJT),2N5401,10,Ordner,-150V 600mA 50MHz
Transistor (PNP BJT),2N5401A2,10,Ordner,-300V 500mA 50MHz
Transistor (PNP BJT),MPSA92,10,Ordner,-30V 50mA 50MHz
Transistor (NPN HF BJT),9018,10,Ordner,15V 50mA HF
Transistor (NPN BJT),S9013,10,Ordner,40V 200mA 250MHz
Transistor (NPN BJT),2N2222A,10,Ordner,40V 800mA 250MHz
Transistor (NPN BJT),9014,10,Ordner,45V 100mA 150MHz
Transistor (NPN BJT),C945,10,Ordner,50V 150mA 250MHz
Transistor (NPN BJT),C1815,10,Ordner,50V 150mA 200MHz
Transistor (NPN BJT),A733,10,Ordner,60V 150mA 250MHz
Transistor (NPN BJT),S8050,10,Ordner,60V 1A 250MHz
Transistor (NPN BJT),2N8904,10,Ordner,60V 15A 10MHz
Widerstand,10 Ω,20,Ordner,0.25W
Widerstand,22 Ω,20,Ordner,0.25W
Widerstand,47 Ω,20,Ordner,0.25W
Widerstand,100 Ω,20,Ordner,0.25W
